NumberOfMeetings = 201415125424141241
NumberOfAgents = 9
NumberOfMeetingPerAgent = 5
MinDisTimeBetweenMeetings = 1
MaxDisTimeBetweenMeetings = 2
DomainSize = 12

Agents Meetings:
Agents (0): 6 7 15 17 18
Agents (1): 1 3 14 15 16
Agents (2): 5 6 10 13 15
Agents (3): 8 11 15 17 18
Agents (4): 1 4 7 9 16
Agents (5): 0 1 11 13 18
Agents (6): 2 5 12 13 18
Agents (7): 2 6 8 12 16
Agents (8): 2 7 15 17 19

Between Meetings Distance:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
0: 0 1 2 1 2 2 1 2 1 2 2 1 2 1 1 1 2 2 1 2
1: 1 0 1 1 1 2 1 1 1 1 1 1 2 1 2 1 1 1 1 2
2: 2 1 0 1 1 2 2 1 1 1 1 1 1 1 1 1 2 2 1 1
3: 1 1 1 0 1 1 2 2 1 1 2 2 2 2 2 2 1 2 2 1
4: 2 1 1 1 0 1 2 2 2 2 2 1 1 1 2 2 1 1 2 2
5: 2 2 2 1 1 0 2 2 2 1 1 1 2 1 2 1 2 2 1 2
6: 1 1 2 2 2 2 0 1 1 1 1 2 1 2 1 2 1 1 2 2
7: 2 1 1 2 2 2 1 0 1 2 1 1 1 1 1 2 2 2 1 1
8: 1 1 1 1 2 2 1 1 0 2 1 1 2 1 1 2 1 2 1 2
9: 2 1 1 1 2 1 1 2 2 0 2 2 1 1 1 2 2 2 2 1
10: 2 1 1 2 2 1 1 1 1 2 0 1 2 2 2 2 2 1 1 2
11: 1 1 1 2 1 1 2 1 1 2 1 0 1 2 1 1 2 1 2 1
12: 2 2 1 2 1 2 1 1 2 1 2 1 0 1 2 2 2 2 1 2
13: 1 1 1 2 1 1 2 1 1 1 2 2 1 0 1 1 2 2 2 1
14: 1 2 1 2 2 2 1 1 1 1 2 1 2 1 0 2 1 1 2 1
15: 1 1 1 2 2 1 2 2 2 2 2 1 2 1 2 0 2 1 2 2
16: 2 1 2 1 1 2 1 2 1 2 2 2 2 2 1 2 0 1 1 2
17: 2 1 2 2 1 2 1 2 2 2 1 1 2 2 1 1 1 0 2 2
18: 1 1 1 2 2 1 2 1 1 2 1 2 1 2 2 2 1 2 0 1
19: 2 2 1 1 2 2 2 1 2 1 2 1 2 1 1 2 2 2 1 0
