NumberOfMeetings = 20
NumberOfAgents = 14
NumberOfMeetingPerAgent = 4
MinDisTimeBetweenMeetings = 1
MaxDisTimeBetweenMeetings = 3
DomainSize = 12

Agents Meetings:
Agents (0): 3 6 15 16
Agents (1): 0 1 2 8
Agents (2): 8 14 16 17
Agents (3): 7 8 18 19
Agents (4): 2 5 11 19
Agents (5): 8 10 12 14
Agents (6): 3 4 7 15
Agents (7): 6 7 9 19
Agents (8): 2 9 12 14
Agents (9): 5 6 15 19
Agents (10): 1 3 13 15
Agents (11): 3 4 5 12
Agents (12): 2 7 10 19
Agents (13): 3 5 9 17

Between Meetings Distance:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
0: 0 3 1 2 1 1 1 2 2 3 2 3 3 2 2 3 2 3 1 2
1: 3 0 1 1 3 1 3 1 1 2 2 2 2 1 3 2 2 1 3 3
2: 1 1 0 1 3 3 1 2 2 1 2 2 3 2 2 3 1 3 2 2
3: 2 1 1 0 1 1 3 1 2 2 2 3 2 3 1 3 3 1 1 1
4: 1 3 3 1 0 2 3 1 3 1 1 1 1 1 2 3 1 3 2 3
5: 1 1 3 1 2 0 1 3 2 1 1 3 1 2 2 3 1 1 2 2
6: 1 3 1 3 3 1 0 1 2 1 1 3 2 1 1 1 2 1 1 2
7: 2 1 2 1 1 3 1 0 2 3 1 1 1 2 2 1 2 1 2 2
8: 2 1 2 2 3 2 2 2 0 2 1 3 3 3 2 3 3 1 3 1
9: 3 2 1 2 1 1 1 3 2 0 3 2 1 3 1 1 1 1 1 3
10: 2 2 2 2 1 1 1 1 1 3 0 3 1 2 1 3 1 2 2 3
11: 3 2 2 3 1 3 3 1 3 2 3 0 2 1 1 3 2 2 3 3
12: 3 2 3 2 1 1 2 1 3 1 1 2 0 2 1 2 2 1 3 2
13: 2 1 2 3 1 2 1 2 3 3 2 1 2 0 3 3 1 1 3 3
14: 2 3 2 1 2 2 1 2 2 1 1 1 1 3 0 2 2 3 3 3
15: 3 2 3 3 3 3 1 1 3 1 3 3 2 3 2 0 3 1 3 2
16: 2 2 1 3 1 1 2 2 3 1 1 2 2 1 2 3 0 3 1 1
17: 3 1 3 1 3 1 1 1 1 1 2 2 1 1 3 1 3 0 3 3
18: 1 3 2 1 2 2 1 2 3 1 2 3 3 3 3 3 1 3 0 3
19: 2 3 2 1 3 2 2 2 1 3 3 3 2 3 3 2 1 3 3 0
