NumberOfMeetings = 20
NumberOfAgents = 13
NumberOfMeetingPerAgent = 5
MinDisTimeBetweenMeetings = 1
MaxDisTimeBetweenMeetings = 2
DomainSize = 12

Agents Meetings: 
Agents (0): 1 4 6 7 19
Agents (1): 2 8 11 18 19
Agents (2): 0 4 8 17 18
Agents (3): 0 6 15 17 18
Agents (4): 2 5 8 11 14
Agents (5): 3 8 14 15 19
Agents (6): 7 10 13 14 16
Agents (7): 8 10 12 13 19
Agents (8): 4 9 12 18 19
Agents (9): 2 4 6 13 17
Agents (10): 5 10 12 13 17
Agents (11): 6 9 11 12 19
Agents (12): 1 6 10 13 17

Between Meetings Distance:
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
0: 0 2 2 2 1 1 2 1 2 2 1 1 2 2 1 2 1 2 1 1
1: 2 0 1 1 2 1 2 1 2 2 2 1 1 1 2 2 1 2 2 2
2: 2 1 0 1 1 2 1 1 2 1 2 1 1 1 1 2 1 2 1 2
3: 2 1 1 0 2 1 1 1 2 2 1 2 2 1 1 1 2 2 1 2
4: 1 2 1 2 0 1 2 1 1 2 2 2 1 2 2 1 2 1 2 2
5: 1 1 2 1 1 0 2 2 1 1 1 2 1 1 1 2 1 1 2 1
6: 2 2 1 1 2 2 0 1 1 2 1 1 2 1 2 1 2 1 1 1
7: 1 1 1 1 1 2 1 0 1 2 1 2 2 1 1 2 1 1 2 1
8: 2 2 2 2 1 1 1 1 0 2 1 1 2 1 2 1 2 1 1 2
9: 2 2 1 2 2 1 2 2 2 0 1 2 2 2 1 1 2 2 1 2
10: 1 2 2 1 2 1 1 1 1 1 0 2 2 1 1 1 2 1 1 2
11: 1 1 1 2 2 2 1 2 1 2 2 0 1 1 1 2 1 1 1 1
12: 2 1 1 2 1 1 2 2 2 2 2 1 0 1 2 2 1 2 1 2
13: 2 1 1 1 2 1 1 1 1 2 1 1 1 0 1 1 1 1 1 2
14: 1 2 1 1 2 1 2 1 2 1 1 1 2 1 0 2 1 1 2 2
15: 2 2 2 1 1 2 1 2 1 1 1 2 2 1 2 0 1 1 2 2
16: 1 1 1 2 2 1 2 1 2 2 2 1 1 1 1 1 0 1 2 2
17: 2 2 2 2 1 1 1 1 1 2 1 1 2 1 1 1 1 0 2 1
18: 1 2 1 1 2 2 1 2 1 1 1 1 1 1 2 2 2 2 0 1
19: 1 2 2 2 2 1 1 1 2 2 2 1 2 2 2 2 2 1 1 0
